20210414,77,11,31,1009,855,225,319,,,252,122,3,6,5,192,56700,54370
20210414,77,11,32,780,448,196,315,,,48,55,,,8,214,56000,55760
20210414,77,11,34,,,,,,,,,,,,,62500,61000
20210414,77,12,33,17059,5660,9799,10042,0,82454,2549,2813,212,331,91965,20284,42300,41370
20210414,77,11,37,188,93,5,99,,,0,1,,,,,57500,56600
20210414,77,11,38,51,76,25,0,,,,,,,,,57500,57100
20210414,77,12,41,,,,,,,,,,,,,43000,43000
20210414,77,12,42,,,,,,,,,,,,,43000,43000
20210414,77,12,43,,,,,,,,,,,,,49700,49700
20210414,77,12,44,,,,,,,,,,,,,44000,44000
20210414,77,12,45,,,,,,,,,,,,,46000,46000
20210414,77,12,46,,,,,,,,,,,,,49800,49800
20210414,77,12,61,351,15,0,0,,,0,336,,,,,6.54,7.51
20210414,77,12,62,35,4,0,0,,,0,31,,,,,6.38,8.83
20210414,77,12,63,871,470,0,0,,,0,433,,,384,352,7.41,8.32
20210414,77,12,64,1258,58,0,0,,,0,751,,,0,449,7.01,9.88
